systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_subdiv;_boundaries;B481;;;USA-WA/OR;b.481;
b_subdiv;_boundaries;B482;;;USA-AZ/CA,NV;b.482;
b_subdiv;_boundaries;B484;;;USA-ID/WA,OR;b.484;
b_subdiv;_boundaries;B490;;;USA-TX/OK;b.490;
b_subdiv;_boundaries;B491;;;USA-TX/OK,AR;b.491;
b_subdiv;_boundaries;B494;;;USA-TX/LA;b.494;
b_subdiv;_boundaries;B495;;;USA-KS,NE/MO,IA;b.495;
b_subdiv;_boundaries;B496;;;USA-NE/SD,IA;b.496;
b_subdiv;_boundaries;B497;;;USA-SD/IA;b.497;
b_subdiv;_boundaries;B498;;;USA-MN/ND,SD;b.498;
b_subdiv;_boundaries;B499;;;USA-MO/AR;b.499;
b_subdiv;_boundaries;B500;;;USA-IA/MO;b.500;
b_subdiv;_boundaries;B620;;;USA-MS/LA,AR;b.620;
b_subdiv;_boundaries;B621;;;USA-AR,MO/TN,MS;b.621;
b_subdiv;_boundaries;B622;;;USA-IL/MO;b.622;
b_subdiv;_boundaries;B623;;;USA-IA,MN/WI,IL;b.623;
b_subdiv;_boundaries;B624;;;USA-LA/MS;b.624;
b_subdiv;_boundaries;B625;;;USA-AL/FL;b.625;
b_subdiv;_boundaries;B626;;;USA-FL/GA;b.626;
b_subdiv;_boundaries;B627;;;USA-AL,FL/GA;b.627;
b_subdiv;_boundaries;B628;;;USA-GA/SC;b.628;
b_subdiv;_boundaries;B629;;;USA-GA/SC;b.629;
b_subdiv;_boundaries;B631;;;USA-KY/IN,IL;b.631;
b_subdiv;_boundaries;B632;;;USA-KY/IN,OH;b.632;
b_subdiv;_boundaries;B633;;;USA-OH/KY,WV;b.633;
b_subdiv;_boundaries;B634;;;USA-IL/IN;b.634;
b_subdiv;_boundaries;B635;;;USA-WV/KY;b.635;
b_subdiv;_boundaries;B636;;;USA-MD,DC/VA,WV;b.636;
b_subdiv;_boundaries;B637;;;USA-PA/NJ,NY;b.637;
b_subdiv;_boundaries;B638;;;USA-NJ/NY;b.638;
b_subdiv;_boundaries;B640;;;USA-NJ/NY;b.640;
b_subdiv;_boundaries;B641;;;USA-NJ/NY;b.641;
b_subdiv;_boundaries;B700;;;USA-WI/MN;b.700;
b_subdiv;_boundaries;B701;;;USA-WI/MI;b.701;
b_subdiv;_boundaries;B702;;;USA-WI/MI;b.702;
b_subdiv;_boundaries;B703;;;USA-NY/VT;b.703;
b_subdiv;_boundaries;B706;;;USA-VT/NH;b.706;
b_subdiv;_boundaries;B707;;;USA-NH/ME;b.707;
b_subdiv;_boundaries;B730;;;USA-CA,NV,UT/OR,ID;b.730;
b_subdiv;_boundaries;B731;;;USA-WA/OR;b.731;
b_subdiv;_boundaries;B732;;;USA-NV/CA;b.732;
b_subdiv;_boundaries;B733;;;USA-NV/CA;b.733;
b_subdiv;_boundaries;B734;;;USA-NV/UT,AZ;b.734;
b_subdiv;_boundaries;B735;;;USA-OR,WA/ID;b.735;
b_subdiv;_boundaries;B736;;;USA-WA/ID;b.736;
b_subdiv;_boundaries;B737;;;USA-AZ,NM,OK/UT,CO,KS;b.737;
b_subdiv;_boundaries;B738;;;USA-UT,CO/WY,NE;b.738;
b_subdiv;_boundaries;B739;;;USA-MT/ID;b.739;
b_subdiv;_boundaries;B740;;;USA-MT/ID;b.740;
b_subdiv;_boundaries;B741;;;USA-WY/MT,ID,UT;b.741;
b_subdiv;_boundaries;B742;;;USA-MT/WY;b.742;
b_subdiv;_boundaries;B743;;;USA-UT,AZ/CO,NM;b.743;
b_subdiv;_boundaries;B744;;;USA-NM,OK/TX;b.744;
b_subdiv;_boundaries;B745;;;USA-NM/OK;b.745;
b_subdiv;_boundaries;B746;;;USA-CO/NE,KS;b.746;
b_subdiv;_boundaries;B747;;;USA-CO/SD,NE;b.747;
b_subdiv;_boundaries;B748;;;USA-NT/ND,SD;b.748;
b_subdiv;_boundaries;B749;;;USA-KS/NE;b.749;
b_subdiv;_boundaries;B750;;;USA-SD/NE;b.750;
b_subdiv;_boundaries;B751;;;USA-ND/SD;b.751;
b_subdiv;_boundaries;B752;;;USA-TX/AR,LA;b.752;
b_subdiv;_boundaries;B753;;;USA-KS,OK/MO,AR;b.753;
b_subdiv;_boundaries;B754;;;USA-MN/SD;b.754;
b_subdiv;_boundaries;B755;;;USA-AR/LA;b.755;
b_subdiv;_boundaries;B756;;;USA-MO/AR;b.756;
b_subdiv;_boundaries;B757;;;USA-MO/AR;b.757;
b_subdiv;_boundaries;B758;;;USA-IA/MO;b.758;
b_subdiv;_boundaries;B759;;;USA-MN/IA;b.759;
b_subdiv;_boundaries;B760;;;USA-LA/MO;b.760;
b_subdiv;_boundaries;B761;;;USA-AL/FL;b.761;
b_subdiv;_boundaries;B762;;;USA-GA/FL;b.762;
b_subdiv;_boundaries;B763;;;USA-AL/MS;b.763;
b_subdiv;_boundaries;B764;;;USA-AL/GA;b.764;
b_subdiv;_boundaries;B765;;;USA-MS/TN;b.765;
b_subdiv;_boundaries;B766;;;USA-TN/AL,GA;b.766;
b_subdiv;_boundaries;B767;;;USA-NC/SC;b.767;
b_subdiv;_boundaries;B768;;;USA-TN,NC/KY,VA;b.768;
b_subdiv;_boundaries;B769;;;USA-TN,NC;b.769;
b_subdiv;_boundaries;B770;;;USA-VA/KY,WV;b.770;
b_subdiv;_boundaries;B771;;;USA-MD/WV;b.771;
b_subdiv;_boundaries;B772;;;USA-MD/VA;b.772;
b_subdiv;_boundaries;B773;;;USA-PA/WV,MD,DE;b.773;
b_subdiv;_boundaries;B774;;;USA-PA/DE;b.774;
b_subdiv;_boundaries;B775;;;USA-NY/NJ;b.775;
b_subdiv;_boundaries;B776;;;USA-MN/WI;b.776;
b_subdiv;_boundaries;B777;;;USA-IL/WI;b.777;
b_subdiv;_boundaries;B778;;;USA-WI/MI;b.778;
b_subdiv;_boundaries;B779;;;USA-IL/IN;b.779;
b_subdiv;_boundaries;B780;;;USA-IN/MI;b.780;
b_subdiv;_boundaries;B781;;;USA-IN/OH;b.781;
b_subdiv;_boundaries;B782;;;USA-MI/OH;b.782;
b_subdiv;_boundaries;B783;;;USA-OH,WV/PA;b.783;
b_subdiv;_boundaries;B784;;;USA-PA/NY;b.784;
b_subdiv;_boundaries;B785;;;USA-NY/VT,MA,CT;b.785;
b_subdiv;_boundaries;B786;;;USA-MA/CT,RI;b.786;
b_subdiv;_boundaries;B787;;;USA-MA/VT,NH,ME;b.787;
b_subdiv;_boundaries;B788;;;USA-CT/RI;b.788;
b_subdiv;_boundaries;B789;;;USA-NH/ME;b.789;
b_subdiv;_boundaries;B790;;;CAN-AB/BC,NT;b.790;
b_subdiv;_boundaries;B793;;;CAN-MB/NU;b.793;
b_subdiv;_boundaries;B794B;;;CAN-NB/NS;b.794b;
b_subdiv;_boundaries;B799A;;;CAN-ON/MB;b.799a;
b_subdiv;_boundaries;B799C;;;CAN-ON/QC;b.799c;
b_subdiv;_boundaries;B802A;;;CAN-QC/NB;b.802a;
b_subdiv;_boundaries;B802B;;;CAN-QC/NL;b.802b;
b_subdiv;_boundaries;B804;;;CAN-SK/AB,NT;b.804;
b_subdiv;_boundaries;B806;;;CAN-YT/BC,NT;b.806;
b_subdiv;_boundaries;B807;;;CAN-NT/NU;b.807;
b_subdiv;_boundaries;B808;;;CAN-NT/NU;b.808;
b_subdiv;_boundaries;B809;;;GBR-WLS/ENG;b.809;
b_subdiv;_boundaries;B810;;;GBR-ENG/SCT;b.810;
b_subdiv;_boundaries;B811;;;USA-DC/MD;b.811;
b_subdiv;_boundaries;B813;;;MEX-BC/BCS;b.813;
b_subdiv;_boundaries;B814;;;MEX-BC/SON;b.814;
b_subdiv;_boundaries;B815;;;MEX-SON/SIN;b.815;
b_subdiv;_boundaries;B816;;;MEX-SON/CHIH;b.816;
b_subdiv;_boundaries;B817;;;MEX-CHIH/DGO;b.817;
b_subdiv;_boundaries;B818;;;MEX-CHIH/COAH;b.818;
b_subdiv;_boundaries;B819;;;MEX-DGO/COAH;b.819;
b_subdiv;_boundaries;B820;;;MEX-COAH/ZAC;b.820;
b_subdiv;_boundaries;B821;;;MEX-COAH/NL;b.821;
b_subdiv;_boundaries;B822;;;MEX-NL/ZAC;b.822;
b_subdiv;_boundaries;B823;;;MEX-SLP/NL;b.823;
b_subdiv;_boundaries;B824;;;MEX-NL/TAM;b.824;
b_subdiv;_boundaries;B825;;;MEX-SLP/TAM;b.825;
b_subdiv;_boundaries;B826;;;MEX-TAM/VER;b.826;
b_subdiv;_boundaries;B827;;;MEX-CHIH/SIN;b.827;
b_subdiv;_boundaries;B828;;;MEX-SIN/DGO;b.828;
b_subdiv;_boundaries;B829;;;MEX-SIN/NAY;b.829;
b_subdiv;_boundaries;B830;;;MEX-NAY/DGO;b.830;
b_subdiv;_boundaries;B831;;;MEX-DGO/ZAC;b.831;
