systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_water;_boundaries;B131;;;hong kong;b.131;
b_water;_boundaries;B182;;;ATA/SOU;b.182;
b_water;_boundaries;B183;;;ATA/SOU;b.183;
b_water;_boundaries;B184;;;ATA/SOU;b.184;
b_water;_boundaries;B185;;;ATA/SOU;b.185;
b_water;_boundaries;B186;;;ATA/SOU;b.186;
b_water;_boundaries;B187;;;ATA/SOU;b.187;
b_water;_boundaries;B188;;;ATA/SOU;b.188;
b_water;_boundaries;B189;;;ATA/SOU;b.189;
b_water;_boundaries;B190;;;ATA/SOU;b.190;
b_water;_boundaries;B191;;;ATA/SOU;b.191;
b_water;_boundaries;B192;;;ATA/SOU;b.192;
b_water;_boundaries;B193;;;ATA/SOU;b.193;
b_water;_boundaries;B194;;;ATA/SOU;b.194;
b_water;_boundaries;B195;;;ATA/SOU;b.195;
b_water;_boundaries;B196;;;SOU/some island;b.196;
b_water;_boundaries;B197;;;PAC/PRU,CHL;b.197;
b_water;_boundaries;B198;;;PAC,ATL/CHL,ARG;b.198;
b_water;_boundaries;B199;;;ATL/ARG,URY,BRA;b.199;
b_water;_boundaries;B200;;;ATL/BRA,GUF,SUR,GUY;b.200;
b_water;_boundaries;B201;;;ATL,Car/GUY,VEN,COL,PAN,CRI,NIC;b.201;
b_water;_boundaries;B202;;;Car,GOM/HND,GTM,BLZ,MEX,USA;b.202;
b_water;_boundaries;B206;;;Husdon Bay,ARC/CAN;b.206;
b_water;_boundaries;B207A;;;ARC/CAN,USA;b.207a;
b_water;_boundaries;B207B;;;ARC/CAN,USA;b.207b;
b_water;_boundaries;B208;;;PAC/USA,CAN;b.208;
b_water;_boundaries;B209;;;PAC/CAN,USA;b.209;
b_water;_boundaries;B210;;;PAC/USA,MEX;b.210;
b_water;_boundaries;B211;;;PAC/MEX,GTM,HND,SLV,NIC,CRI,PAN,COL,ECU;b.211;
b_water;_boundaries;B212;;;CAN/Great Bear Lake;b.212;
b_water;_boundaries;B213;;;CAN/Great Slave Lake;b.213;
b_water;_boundaries;B214;;;Lake Athabasca/CAN;b.214;
b_water;_boundaries;B215;;;CAN/Reindeer Lake;b.215;
b_water;_boundaries;B216;;;CAN/Lake Winnipeg;b.216;
b_water;_boundaries;B217;;;CAN/Lake Manitoba;b.217;
b_water;_boundaries;B223;;;PAC/ECU-Galapagos Isl.;b.223;
b_water;_boundaries;B224;;;PAC/CHL-? Isl.;b.224;
